PitchNo,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,ContactQuality,PlayResult,OutsonPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Direction,Angle,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,ContactPositionX,ContactPositionY,ContactPositionZ,EffectiveVelo,MaxHeight,MeasuredDuration,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ
1,1,1,Pitcher 1,Right,Team 1,Batter 1,Left,Team 2,Undefined,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.63311909,-1.71403117,-0.909032718,2339.474848,207.372913,1:00,5.851540794,1.169878342,6.505306027,-12.1748052,18.17162803,9.421484615,3.263409137,1.120749472,86.4776698,-4.025554393,0.884540235,0.396483707,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-5.450096369,10.50102439,-1.110663463,50,5.726600203,1.8982953,-137.8259987,-4.497798625,-10.47751829,30.79511074,-11.98639174,NULL,NULL,NULL,95.06664679,NULL,NULL,-1.160192791,3.079090022,-1.162818166
2,1,2,Pitcher 1,Right,Team 1,Batter 1,Left,Team 2,Undefined,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.60341528,-3.402332637,-1.948330136,2347.879765,213.8213847,1:15,5.748869306,1.111326146,6.496611202,-13.51741276,16.83769317,11.29791742,1.49423473,0.263930209,86.92430784,-5.953929752,0.196579981,0.396540358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.740102914,10.17889537,-0.98017832,50,5.504694625,4.332673431,-137.576482,-8.599534077,-12.97231371,29.31989721,-12.58327589,NULL,NULL,NULL,95.05306517,NULL,NULL,-0.407133887,1.302403702,-0.271544394
3,1,3,Pitcher 1,Right,Team 1,Batter 1,Left,Team 2,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,GroundBall,NULL,Single,NULL,0,NULL,86.33892687,-0.497985551,-1.877924453,2291.136005,182.447346,12:00,5.744549561,1.244975831,5.779706748,-34.61160964,2.316908803,0.100341566,2.396700376,-0.49436584,80.52683081,-6.90948191,-1.859249476,0.437373494,99.51556097,29.65665754,-0.240324322,2690.064868,NULL,NULL,NULL,45.9538763,44.10151319,28.71907326,0.314992065,-0.485004443,1.353802459,-1.090269633,50,5.682391966,4.119978645,-125.7559645,-2.221918163,-0.789927004,21.42584156,-29.96910974,2.25793305,2.47036658,0.415707872,86.1789226,2.47036658,0.301186535,2.334698392,2.507009278,0.464562333
4,2,1,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.56999221,-3.071865725,-2.90706443,2372.089221,210.6716768,1:00,5.789926575,1.099989864,6.231772419,-12.32985761,18.42641984,10.94370406,1.922473258,-0.6719123,86.63886261,-5.394159534,-0.839706472,0.399152086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.756096061,10.88442416,-0.888729829,50,5.55439348,6.62332204,-137.407469,-7.782874218,-12.9533664,29.64057518,-11.3054977,NULL,NULL,NULL,94.43111495,NULL,NULL,-0.880765417,1.703178655,0.703511397
5,2,2,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.80013201,-3.879865915,-2.498949319,2399.47563,214.7579644,1:15,5.791249178,1.044851365,6.361916414,-13.45637147,16.96861034,11.79264602,1.090908426,-0.273326005,87.14483223,-6.410952911,-0.267207929,0.396996504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.120901074,10.32323253,-0.869849177,50,5.503953696,5.636753525,-137.7160757,-9.775040836,-13.74335255,29.16355928,-12.25019022,NULL,NULL,NULL,94.94385007,NULL,NULL,1.104342566,1.055767855,0.274741425
6,2,3,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,1,1,Slider,Slider,FoulBall,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,85.18184202,-0.827270078,-1.525172704,2373.044697,148.601821,11:00,5.771600866,1.349947617,5.916288028,-37.3911382,0.573887058,-0.369602682,1.887690354,-0.096455571,79.10126008,-7.783635711,-1.594386777,0.4434691,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.18149279,0.51547693,-1.227691397,50,5.68390133,3.314378598,-124.0477675,-2.958833902,-0.285624786,22.49154484,-31.3628153,NULL,NULL,NULL,84.99436936,NULL,NULL,2.540768225,2.039760655,0.065183044
7,2,4,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.38338812,-0.365990591,-2.259138533,2305.395476,220.0293145,1:15,5.839515295,1.052848216,6.242816005,-15.80063727,14.97907199,12.60356137,4.184996889,0.018594662,86.29188422,-3.353229459,0.125328835,0.399304105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.499365846,8.278592138,-0.891185203,50,5.80442447,5.013265805,-137.3924994,-1.388373072,-14.35751047,29.98744375,-16.32471199,NULL,NULL,NULL,94.39516409,NULL,NULL,-1.685964926,3.997723628,-0.02975578
8,2,5,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,80.43705172,3.026600482,0.667779423,1789.671095,40.36669293,7:15,5.714133783,1.168027069,5.908483565,-54.7891288,-11.5674907,-9.802475063,3.960095172,0.970932335,73.5305767,-7.267670138,-1.181637238,0.473175369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.489328358,-7.128521452,-1.215958223,50,5.925701885,-1.07708682,-116.9049478,4.585845767,7.564097616,22.92198417,-41.99689547,NULL,NULL,NULL,79.65836554,NULL,NULL,-1.833496457,3.524638711,-0.90015811
9,2,6,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,3,2,Fastball,Fastball,InPlay,Undefined,Popup,NULL,Out,NULL,0,NULL,93.98857113,-0.953164906,-1.00521101,2178.527321,213.3666056,1:00,5.762695886,1.229557871,6.314347105,-14.60024755,16.39277585,10.81236292,3.667934787,1.204701368,85.8203718,-3.718277723,1.046460442,0.400685374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.20497368,9.247068179,-1.161328688,50,5.686008491,2.059629422,-136.879755,-2.739578917,-11.75974238,30.51182778,-14.6488913,NULL,NULL,NULL,94.06975877,NULL,NULL,1.164513479,3.65151172,-1.209332091
10,3,1,Pitcher 1,Right,Team 1,Batter 3,Left,Team 2,Undefined,1,Top,2,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,NULL,Double,NULL,0,NULL,93.36517659,-2.668026945,-1.563775897,2360.964012,217.8137301,1:15,5.804406462,1.119413107,6.539195712,-16.17223979,14.93679483,11.61203459,2.007275126,0.652637472,85.69160528,-5.72793976,0.64481289,0.401434585,89.65846511,-8.936671618,16.44199006,2100.785802,107.8858356,25.36366567,-21.46126619,274.0028313,273.7931372,-15.69039086,2.85583313,-6.83173352,8.966490349,-1.016353802,50,5.612705585,3.360815169,-135.8900202,-6.820769833,-12.80460028,29.12214134,-15.36831037,1.019459867,1.965012062,-0.687729803,93.89419337,27.80899106,2.853136979,0.961988996,1.961544426,-0.657841566
11,4,1,Pitcher 1,Right,Team 1,Batter 4,Right,Team 2,Undefined,1,Top,2,0,0,Slider,Slider,InPlay,Undefined,FlyBall,NULL,Out,NULL,0,NULL,84.19702031,0.21106247,-1.116821027,2327.678685,87.71909722,9:00,5.764665173,1.09567126,5.541335768,-39.26194638,-0.136442529,-2.606359129,2.690109185,-0.165308956,78.61897872,-7.030618111,-1.59981955,0.450195853,102.7219381,-8.779826887,34.38199901,4153.812316,109.1819409,76.59762865,-13.39001736,383.8404124,134.6203405,-3.864759009,6.004894409,1.128755272,-0.120199042,-0.997263825,50,5.756723699,2.477443684,-122.6529901,-0.849066117,1.750597583,20.14334462,-32.36046643,2.050270739,2.752844723,0.079860422,83.72439746,121.0152815,1.396220934,2.227094819,2.789222525,0.142732178
12,1,1,Pitcher 1,Left,Team 2,Batter 1,Right,Team 1,Undefined,1,Bottom,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.5824651,-3.635745301,1.896948906,2513.211561,164.8488266,11:30,6.791387875,-1.815575166,6.350946,-6.086674102,22.68110358,-6.148065544,2.931657113,-0.581411557,89.2593166,-4.785313903,0.731727164,0.386033216,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.887304051,13.42504913,1.68108114,50,6.524713886,-4.496757348,-141.824937,-9.215142105,7.932003275,31.88308879,-4.780376157,NULL,NULL,NULL,97.64024164,NULL,NULL,-2.405908811,2.608405415,0.535844763
13,1,2,Pitcher 1,Left,Team 2,Batter 1,Right,Team 1,Undefined,1,Bottom,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.04651218,-3.35783634,3.214259962,2517.97784,161.6853299,11:30,6.719815566,-1.708691516,6.4605296,-8.133723153,20.8120092,-6.896816638,2.949629516,0.671783512,88.96049125,-4.89612826,1.907881072,0.387225357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.650107666,12.34330239,1.484968333,50,6.478748338,-7.698597778,-140.986298,-8.543278935,9.397612989,30.83414801,-7.228910262,NULL,NULL,NULL,97.33963903,NULL,NULL,-2.37771362,2.620175327,-0.794584152
14,1,3,Pitcher 1,Left,Team 2,Batter 1,Right,Team 1,Undefined,1,Bottom,0,0,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,NULL,Undefined,NULL,0,NULL,82.76382544,-1.520494513,1.966459899,2639.683903,325.2898091,4:45,6.739264475,-1.775134201,5.191131218,-56.23324215,-14.1517438,9.778545704,0.62181048,0.890116375,76.50076532,-11.82052055,3.786819639,0.466892735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.561473599,-7.000753197,1.585626568,50,6.556690744,-4.454833019,-120.1716099,-5.082399966,-6.616615239,25.03941507,-42.32894462,NULL,NULL,NULL,80.73027001,NULL,NULL,2.751817616,0.898326649,-0.802356668
15,2,1,Pitcher 1,Left,Team 2,Batter 2,Left,Team 1,Undefined,1,Bottom,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.20883845,-3.649752664,3.676001959,2471.705348,164.806852,11:30,6.814224207,-1.659735615,6.655833914,-10.91210548,17.846609,-4.853038005,2.553820547,1.304128871,88.95858834,-5.718499559,2.753004426,0.385972402,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.706354375,10.90440682,1.41476308,50,6.564011083,-8.919310833,-141.1244198,-9.351914782,7.479686247,31.91317157,-10.16818149,NULL,NULL,NULL,97.6556259,NULL,NULL,-2.066084723,2.199803549,-1.469441937
