"balls","strikes","outs_when_up","on_1b","on_2b","on_3b","RE"
3,2,0,1,1,1,2.83495145631068
3,0,0,0,1,1,2.72413793103448
3,1,0,1,1,1,2.54761904761905
3,0,0,1,1,1,2.5
3,0,0,1,0,1,2.38888888888889
2,0,0,1,1,1,2.36486486486486
1,0,0,1,1,1,2.31601731601732
2,0,0,0,1,1,2.3125
1,1,0,1,1,1,2.26720647773279
0,0,0,1,1,1,2.25125628140704
2,1,0,1,1,1,2.18918918918919
3,2,0,1,0,1,2.16822429906542
0,1,0,1,1,1,2.16438356164384
3,1,1,1,1,1,2.13698630136986
3,1,0,1,0,1,2.1304347826087
1,2,0,1,1,1,2.08673469387755
1,0,0,0,1,1,2.0780487804878
3,0,1,1,1,1,2.05882352941176
2,2,0,1,1,1,2.03626943005181
3,0,0,1,1,0,2.02173913043478
2,2,0,0,1,1,2
1,1,0,0,1,1,1.97524752475248
0,0,0,0,1,1,1.94468085106383
2,0,0,1,0,1,1.93150684931507
3,2,0,0,1,1,1.925
1,2,0,1,0,1,1.90336134453782
0,2,0,1,1,1,1.9
3,1,0,1,1,0,1.88888888888889
1,0,0,1,0,1,1.84920634920635
0,0,0,1,0,1,1.84118438761777
0,1,0,0,1,1,1.78440366972477
3,1,0,0,1,1,1.78
2,1,0,1,0,1,1.77142857142857
0,1,0,1,0,1,1.76880222841226
2,0,0,1,1,0,1.75
2,1,0,0,1,1,1.75
3,0,1,1,0,1,1.75
1,2,0,0,1,1,1.74193548387097
1,1,0,1,0,1,1.73643410852713
3,2,0,1,1,0,1.72585669781931
2,2,0,1,0,1,1.69945355191257
2,0,1,1,1,1,1.69767441860465
0,2,0,0,1,1,1.69291338582677
3,2,1,1,1,1,1.67777777777778
1,0,1,1,1,1,1.64774951076321
0,2,0,1,0,1,1.6145251396648
3,2,0,0,0,1,1.6
0,0,1,1,1,1,1.58585055643879
3,0,0,0,0,1,1.57894736842105
2,2,0,0,0,1,1.5655737704918
3,1,1,1,0,1,1.55769230769231
2,1,0,1,1,0,1.54926108374384
1,1,0,0,0,1,1.54761904761905
1,1,1,1,1,1,1.53941908713693
1,0,0,1,1,0,1.53268765133172
2,1,0,0,0,1,1.51086956521739
2,1,1,1,1,1,1.47488584474886
0,0,0,1,1,0,1.46100599907706
0,1,1,1,1,1,1.45619834710744
2,0,1,1,0,1,1.45192307692308
1,0,0,0,0,1,1.42342342342342
1,1,0,1,1,0,1.42162818955043
0,0,0,0,0,1,1.42105263157895
3,0,2,1,1,1,1.40277777777778
2,0,1,0,1,1,1.39181286549708
3,0,0,0,1,0,1.39024390243902
3,0,1,1,1,0,1.37037037037037
1,0,1,0,1,1,1.36995515695067
0,1,0,0,0,1,1.36440677966102
0,0,1,0,1,1,1.35608308605341
2,1,1,0,1,1,1.35135135135135
3,1,1,0,1,1,1.34862385321101
2,0,0,0,0,1,1.33962264150943
0,1,0,1,1,0,1.33901515151515
2,2,1,1,1,1,1.32972972972973
3,2,1,0,1,1,1.3215859030837
0,1,1,0,1,1,1.31944444444444
1,1,1,0,1,1,1.30254041570439
3,1,0,0,1,0,1.28846153846154
0,2,0,0,0,1,1.28571428571429
2,0,0,0,1,0,1.28531073446328
1,0,1,1,0,1,1.26890756302521
1,0,0,0,1,0,1.26762114537445
0,2,1,0,1,1,1.25830258302583
1,2,1,0,1,1,1.25732217573222
1,2,1,1,1,1,1.25363825363825
2,1,0,0,1,0,1.25
3,0,1,0,1,1,1.24590163934426
3,1,0,0,0,1,1.23404255319149
2,1,1,1,0,1,1.22977346278317
1,2,0,0,0,1,1.22321428571429
2,2,0,1,1,0,1.20707070707071
2,2,1,0,1,1,1.20614035087719
3,1,2,1,1,1,1.1875
0,0,0,0,1,0,1.18292113859076
0,0,1,1,0,1,1.17177177177177
2,0,1,1,1,0,1.16733870967742
1,1,0,0,1,0,1.16576964477933
1,2,0,1,1,0,1.16155988857939
3,0,0,1,0,0,1.15697674418605
3,2,1,1,0,1,1.15311004784689
1,1,1,1,0,1,1.12296564195298
0,1,0,0,1,0,1.10253998118532
3,0,1,0,0,1,1.09859154929577
2,2,0,0,1,0,1.08564814814815
3,1,1,1,1,0,1.06909090909091
3,2,0,0,1,0,1.05210084033613
0,2,1,1,1,1,1.05111821086262
0,1,1,1,0,1,1.0480404551201
0,2,0,1,1,0,1.04743833017078
2,2,1,1,0,1,1.03971962616822
2,0,2,1,1,1,1.03964757709251
2,0,0,1,0,0,1.03568075117371
3,0,2,1,0,1,1.03030303030303
0,2,0,0,1,0,1.02707275803722
3,1,0,1,0,0,1.01127214170692
1,0,1,1,1,0,1.0112676056338
0,0,1,0,0,1,1.00577478344562
4,2,1,0,0,0,1
2,1,0,1,0,0,0.997414350355527
3,2,0,1,0,0,0.995468277945619
1,2,0,0,1,0,0.994775339602926
1,0,1,0,0,1,0.989082969432314
1,2,1,1,0,1,0.962809917355372
