"balls","strikes","outs_when_up","on_1b","on_2b","on_3b","RE"
3,2,0,1,1,1,3
2,0,0,1,1,1,2.49333333333333
3,1,0,0,1,1,2.48076923076923
2,2,0,1,1,1,2.47972972972973
0,0,0,1,1,1,2.44596912521441
3,0,0,0,1,1,2.4375
2,1,0,1,1,1,2.42156862745098
1,0,0,1,1,1,2.41395348837209
3,0,0,1,1,1,2.40909090909091
0,1,0,1,1,1,2.3826714801444
1,1,0,1,1,1,2.36453201970443
3,1,0,1,1,1,2.35714285714286
3,0,0,1,0,1,2.29032258064516
1,2,0,1,1,1,2.25789473684211
2,0,0,1,0,1,2.21978021978022
3,0,1,1,1,1,2.20454545454545
3,0,0,1,1,0,2.16091954022989
2,1,0,0,1,1,2.14705882352941
3,1,1,1,1,1,2.14444444444444
3,2,0,0,1,1,2.13888888888889
1,0,0,0,1,1,2.13265306122449
3,1,0,1,1,0,2.08496732026144
2,0,0,0,1,1,2.07246376811594
1,1,0,0,1,1,2.055
0,2,0,1,1,1,2.04605263157895
0,0,0,0,1,1,2
3,1,0,1,0,1,1.97674418604651
0,1,0,0,1,1,1.89699570815451
1,0,0,1,0,1,1.86642599277978
2,1,0,1,0,1,1.86153846153846
2,2,0,1,0,1,1.86111111111111
2,0,1,1,1,1,1.8
2,0,0,1,1,0,1.78547854785479
0,0,0,1,0,1,1.77749360613811
3,2,0,1,0,1,1.77570093457944
3,2,1,1,1,1,1.76237623762376
0,2,0,0,1,1,1.7175572519084
2,1,1,1,1,1,1.66403162055336
3,2,0,1,1,0,1.664
1,1,0,1,0,1,1.65925925925926
0,1,0,1,0,1,1.65066666666667
1,2,0,1,0,1,1.64822134387352
2,1,0,1,1,0,1.64539007092199
1,0,1,1,1,1,1.64476386036961
1,2,0,0,1,1,1.64406779661017
2,2,0,0,1,1,1.61538461538462
1,0,0,1,1,0,1.60189573459716
3,0,2,1,1,1,1.59259259259259
3,0,1,1,0,1,1.56666666666667
3,1,1,0,1,1,1.55752212389381
0,0,1,1,1,1,1.54969418960245
3,2,1,0,1,1,1.50416666666667
0,1,1,1,1,1,1.48499210110585
2,1,1,0,1,1,1.48076923076923
0,0,0,1,1,0,1.47
1,1,1,1,1,1,1.46496815286624
0,2,0,1,0,1,1.45161290322581
1,1,0,1,1,0,1.43878787878788
2,0,1,0,1,1,1.41758241758242
1,0,1,0,1,1,1.4047619047619
2,2,1,1,1,1,1.38961038961039
0,0,1,0,1,1,1.38848263254113
1,1,1,0,1,1,1.38173302107728
3,0,1,0,1,1,1.36842105263158
0,2,1,1,1,1,1.34705882352941
0,1,0,1,1,0,1.34701159678858
2,2,0,1,1,0,1.34080717488789
3,0,1,0,0,1,1.32203389830508
1,2,1,1,1,1,1.31489361702128
0,1,1,0,1,1,1.29013539651838
0,2,0,1,1,0,1.28694158075601
2,2,0,0,0,1,1.28440366972477
3,2,0,0,0,1,1.27848101265823
3,1,0,0,0,1,1.26666666666667
2,0,1,1,0,1,1.26600985221675
2,0,0,0,1,0,1.24207492795389
1,0,0,0,0,1,1.23893805309735
3,0,0,1,0,0,1.23121387283237
3,1,2,1,1,1,1.22302158273381
3,1,0,0,1,0,1.20247933884298
1,2,0,1,1,0,1.18692810457516
1,0,1,1,0,1,1.18564742589704
2,2,1,0,1,1,1.18351063829787
2,1,0,0,1,0,1.17738791423002
2,1,1,1,0,1,1.17647058823529
3,2,1,1,0,1,1.16101694915254
0,0,1,1,0,1,1.15153234960272
2,1,0,0,0,1,1.14925373134328
2,0,0,0,0,1,1.14893617021277
0,0,0,0,0,1,1.14285714285714
3,0,0,0,1,0,1.14285714285714
3,1,1,1,0,1,1.14018691588785
3,1,1,0,0,1,1.13636363636364
0,1,0,0,0,1,1.13333333333333
2,0,2,1,1,1,1.1324200913242
1,1,1,1,0,1,1.12953367875648
1,1,0,0,0,1,1.125
3,1,1,1,1,0,1.11730205278592
3,2,0,0,1,0,1.1118530884808
1,2,1,0,1,1,1.11002444987775
2,0,1,0,0,1,1.10555555555556
2,2,1,1,0,1,1.10406091370558
1,0,0,0,1,0,1.09848484848485
0,0,0,0,1,0,1.09066547565878
0,1,1,1,0,1,1.06884057971015
1,1,0,0,1,0,1.06775956284153
3,1,0,1,0,0,1.06413994169096
0,2,1,0,1,1,1.06122448979592
2,0,0,1,0,0,1.05013192612137
0,1,0,0,1,0,1.0479704797048
1,0,1,0,0,1,1.03695150115473
1,2,0,0,0,1,1.02521008403361
2,2,0,0,1,0,1.01988304093567
