"mlbam_id","person_strike_zone_top","person_strike_zone_bottom"
150249,3.549,1.627
134162,3.49,1.601
131702,3.575,1.681
150477,3.49,1.601
279568,3.656,1.677
133960,3.49,1.601
285076,3.575,1.681
440162,3.301,1.504
117276,3.371,1.535
136767,3.411,1.565
284566,3.467,1.589
150144,3.467,1.589
408315,3.549,1.627
150202,3.371,1.535
440069,3.49,1.601
150478,3.467,1.589
440072,3.549,1.627
285079,3.49,1.601
276342,3.49,1.601
132980,3.411,1.565
150414,3.49,1.601
219194,3.49,1.601
150390,3.467,1.589
430564,3.656,1.677
441641,3.49,1.601
440059,3.549,1.627
400270,3.49,1.601
437847,3.411,1.565
437175,3.549,1.627
150149,3.575,1.681
440063,3.467,1.589
150287,3.411,1.565
407909,3.656,1.677
277410,3.575,1.681
150302,3.411,1.565
440193,3.549,1.627
150218,3.301,1.504
234194,3.49,1.601
438401,3.467,1.589
150396,3.371,1.535
400078,3.49,1.601
134267,3.411,1.565
440058,3.49,1.601
150466,3.371,1.535
440053,3.301,1.504
150331,3.411,1.565
436914,3.411,1.565
440180,3.371,1.535
437192,3.49,1.601
237346,3.756,1.746
438409,3.49,1.601
437852,3.49,1.601
437205,3.411,1.565
443047,3.549,1.627
407906,3.467,1.589
440845,3.411,1.565
438191,3.49,1.601
440889,3.411,1.565
438418,3.549,1.627
276347,3.49,1.601
436365,3.82,1.665
438182,3.49,1.601
436211,3.575,1.681
437855,3.319,1.513
443282,3.411,1.565
150450,3.371,1.535
436218,3.301,1.504
438181,3.411,1.565
438195,3.301,1.504
439290,3.371,1.535
150070,3.467,1.589
150467,3.371,1.535
134460,3.411,1.565
441654,3.467,1.589
437171,3.467,1.589
150097,3.49,1.601
239795,3.467,1.589
443039,3.411,1.565
440871,3.411,1.565
438186,3.467,1.589
440066,3.467,1.589
440077,3.656,1.677
150011,3.371,1.535
276336,3.49,1.601
443978,3.49,1.601
133321,3.371,1.535
276376,3.49,1.601
443277,3.411,1.565
275932,3.411,1.565
436242,3.49,1.601
443263,3.549,1.627
438178,3.411,1.565
438408,3.549,1.627
283168,3.411,1.565
150210,3.411,1.565
441776,3.467,1.589
443266,3.49,1.601
150409,3.411,1.565
276341,3.467,1.589
400012,3.371,1.535
407820,3.49,1.601
346862,3.575,1.681
445671,3.756,1.746
443913,3.49,1.601
440883,3.467,1.589
440188,3.656,1.677
407903,3.467,1.589
440062,3.371,1.535
438416,3.688,1.747
277414,3.575,1.681
150278,3.467,1.589
444012,3.411,1.565
438420,3.49,1.601
440214,3.467,1.589
150128,3.467,1.589
150395,3.371,1.535
440200,3.371,1.535
441644,3.49,1.601
348561,3.467,1.589
406874,3.411,1.565
436363,3.549,1.627
276914,3.467,1.589
443269,3.411,1.565
276523,3.319,1.513
408050,3.319,1.513
446491,3.371,1.535
150469,3.549,1.627
438705,3.411,1.565
137001,3.411,1.565
441629,3.49,1.601
441653,3.549,1.627
150358,3.467,1.589
440067,3.371,1.535
150317,3.467,1.589
440233,3.411,1.565
150204,3.319,1.513
436912,3.467,1.589
440872,3.656,1.677
150039,3.371,1.535
150255,3.319,1.513
440075,3.411,1.565
407930,3.301,1.504
441773,3.467,1.589
277407,3.549,1.627
437166,3.411,1.565
400180,3.549,1.627
440886,3.301,1.504
436238,3.285,1.487
443060,3.371,1.535
440877,3.549,1.627
400128,3.26,1.481
207267,3.549,1.627
443396,3.49,1.601
443054,3.301,1.504
441639,3.411,1.565
436224,3.319,1.513
443998,3.411,1.565
440852,3.411,1.565
443292,3.49,1.601
276369,3.575,1.681
443409,3.467,1.589
443064,3.467,1.589
436766,3.371,1.535
437167,3.467,1.589
443278,3.575,1.681
136605,3.319,1.513
443394,3.49,1.601
440219,3.549,1.627
444015,3.411,1.565
443072,3.411,1.565
443763,3.467,1.589
441772,3.49,1.601
438687,3.467,1.589
440848,3.319,1.513
367944,3.549,1.627
438210,3.49,1.601
444008,3.467,1.589
443070,3.575,1.681
282331,3.575,1.681
438412,3.411,1.565
436349,3.49,1.601
437859,3.549,1.627
150224,3.49,1.601
408215,3.549,1.627
232694,3.467,1.589
277182,3.411,1.565
440867,3.285,1.487
443989,3.467,1.589
446846,3.319,1.513
407854,3.49,1.601
441634,3.549,1.627
447245,3.49,1.601
408060,3.575,1.681
150206,3.467,1.589
437184,3.49,1.601
449832,3.411,1.565
435418,3.49,1.601
440217,3.301,1.504
443053,3.549,1.627
437204,3.371,1.535
436214,3.371,1.535
443073,3.467,1.589
440244,3.411,1.565
443984,3.467,1.589
441642,3.319,1.513
150171,3.575,1.681
136660,3.411,1.565
442703,3.49,1.601
209068,3.467,1.589
407154,3.411,1.565
440190,3.656,1.677
443050,3.411,1.565
440199,3.411,1.565
436215,3.549,1.627
443914,3.575,1.681
437210,3.371,1.535
276528,3.371,1.535
439281,3.49,1.601
440070,3.467,1.589
443273,3.656,1.677
443038,3.371,1.535
289033,3.575,1.681
439276,3.371,1.535
441412,3.371,1.535
407865,3.656,1.677
406301,3.575,1.681
440172,3.49,1.601
462675,3.411,1.565
444019,3.319,1.513
339492,3.49,1.601
441774,3.467,1.589
217100,3.319,1.513
436909,3.49,1.601
436366,3.49,1.601
440888,3.549,1.627
407113,3.49,1.601
440211,3.319,1.513
439286,3.575,1.681
493032,3.467,1.589
441624,3.467,1.589
436344,3.467,1.589
440071,3.467,1.589
440245,3.319,1.513
436213,3.467,1.589
439291,3.411,1.565
440869,3.49,1.601
443988,3.49,1.601
436924,3.575,1.681
456633,3.467,1.589
150424,3.371,1.535
425779,3.319,1.513
437180,3.467,1.589
443413,3.49,1.601
442169,3.49,1.601
276525,3.49,1.601
440220,3.49,1.601
440208,3.467,1.589
455278,3.371,1.535
430886,3.411,1.565
436232,3.371,1.535
437869,3.575,1.681
441746,3.371,1.535
438214,3.411,1.565
447242,3.467,1.589
440893,3.467,1.589
440795,3.319,1.513
440209,3.467,1.589
234994,3.549,1.627
440238,3.49,1.601
440175,3.688,1.747
425346,3.319,1.513
443417,3.467,1.589
443397,3.371,1.535
150482,3.49,1.601
443996,3.301,1.504
440857,3.467,1.589
441763,3.371,1.535
437848,3.319,1.513
444889,3.301,1.504
400068,3.301,1.504
443384,3.467,1.589
440232,3.549,1.627
437164,3.371,1.535
454209,3.411,1.565
275928,3.467,1.589
150041,3.371,1.535
150277,3.549,1.627
437201,3.301,1.504
441770,3.467,1.589
441748,3.575,1.681
443075,3.411,1.565
441649,3.319,1.513
430676,3.371,1.535
150167,3.411,1.565
443423,3.575,1.681
443262,3.467,1.589
440224,3.467,1.589
436350,3.549,1.627
443395,3.371,1.535
443404,3.411,1.565
439529,3.467,1.589
436207,3.467,1.589
443993,3.49,1.601
440851,3.411,1.565
408071,3.371,1.535
407831,3.656,1.677
443290,3.411,1.565
439251,3.49,1.601
437874,3.49,1.601
437209,3.467,1.589
441756,3.49,1.601
443045,3.371,1.535
455272,3.467,1.589
455268,3.371,1.535
453936,3.49,1.601
443055,3.411,1.565
446510,3.411,1.565
276337,3.371,1.535
443044,3.467,1.589
440783,3.49,1.601
450236,3.467,1.589
443739,3.371,1.535
444005,3.467,1.589
407818,3.688,1.747
425820,3.411,1.565
438176,3.49,1.601
436351,3.411,1.565
437861,3.49,1.601
437872,3.549,1.627
469598,3.467,1.589
436222,3.467,1.589
449017,3.49,1.601
440859,3.49,1.601
150272,3.756,1.746
447240,3.575,1.681
441630,3.411,1.565
442893,3.49,1.601
447247,3.549,1.627
441757,3.756,1.746
440237,3.285,1.487
440775,3.467,1.589
458184,3.371,1.535
444016,3.575,1.681
440799,3.49,1.601
465412,3.575,1.681
437871,3.549,1.627
441747,3.467,1.589
440253,3.319,1.513
439250,3.371,1.535
437189,3.319,1.513
443276,3.575,1.681
150348,3.285,1.487
439294,3.319,1.513
436352,3.49,1.601
443398,3.319,1.513
150221,3.467,1.589
454203,3.467,1.589
447254,3.467,1.589
442439,3.467,1.589
284572,3.411,1.565
442321,3.371,1.535
276368,3.49,1.601
504368,3.467,1.589
443025,3.371,1.535
443041,3.371,1.535
136268,3.575,1.681
408302,3.575,1.681
441758,3.411,1.565
437748,3.575,1.681
324432,3.285,1.487
435879,3.549,1.627
444017,3.319,1.513
447269,3.49,1.601
440338,3.371,1.535
437867,3.411,1.565
441745,3.467,1.589
436911,3.467,1.589
451999,3.756,1.746
438208,3.549,1.627
440201,3.467,1.589
440210,3.549,1.627
442702,3.411,1.565
439289,3.411,1.565
436221,3.549,1.627
437856,3.26,1.481
425849,3.371,1.535
436219,3.467,1.589
425206,3.301,1.504
458958,3.411,1.565
439288,3.319,1.513
346794,3.575,1.681
425226,3.656,1.677
452990,3.756,1.746
441631,3.371,1.535
443383,3.49,1.601
440184,3.411,1.565
407356,3.319,1.513
441743,3.549,1.627
332792,3.467,1.589
457401,3.49,1.601
442345,3.688,1.747
440355,3.467,1.589
456626,3.371,1.535
440915,3.756,1.746
441281,3.575,1.681
437170,3.411,1.565
441650,3.49,1.601
440884,3.411,1.565
459078,3.49,1.601
441278,3.575,1.681
436364,3.411,1.565
400126,3.549,1.627
436353,3.49,1.601
445223,3.467,1.589
443416,3.411,1.565
438198,3.467,1.589
436209,3.575,1.681
443999,3.301,1.504
276349,3.371,1.535
441760,3.467,1.589
443720,3.411,1.565
436343,3.49,1.601
276514,3.656,1.677
452372,3.371,1.535
444013,3.467,1.589
447252,3.549,1.627
441766,3.467,1.589
400152,3.549,1.627
346869,3.411,1.565
448973,3.371,1.535
440813,3.371,1.535
443061,3.411,1.565
436231,3.49,1.601
440215,3.371,1.535
443980,3.467,1.589
440250,3.301,1.504
444399,3.371,1.535
454201,3.49,1.601
445545,3.411,1.565
425634,3.575,1.681
441869,3.371,1.535
437200,3.285,1.487
437849,3.371,1.535
436345,3.49,1.601
437873,3.411,1.565
436206,3.301,1.504
282905,3.49,1.601
443902,3.371,1.535
439292,3.411,1.565
447548,3.575,1.681
440052,3.371,1.535
438686,3.301,1.504
430960,3.319,1.513
276508,3.301,1.504
441767,3.319,1.513
443029,3.301,1.504
459084,3.49,1.601
440168,3.49,1.601
441749,3.549,1.627
437868,3.319,1.513
436230,3.371,1.535
441771,3.319,1.513
443427,3.371,1.535
440182,3.411,1.565
443074,3.688,1.747
443915,3.26,1.481
444009,3.575,1.681
425451,3.319,1.513
441651,3.49,1.601
277409,3.49,1.601
283166,3.467,1.589
447243,3.285,1.487
438200,3.467,1.589
436216,3.371,1.535
209063,3.49,1.601
440864,3.411,1.565
440790,3.49,1.601
441925,3.756,1.746
441942,3.49,1.601
436374,3.49,1.601
454198,3.467,1.589
440179,3.371,1.535
436367,3.467,1.589
408308,3.467,1.589
441750,3.467,1.589
443052,3.319,1.513
447184,3.467,1.589
437181,3.179,1.474
438190,3.319,1.513
440242,3.301,1.504
215197,3.411,1.565
438211,3.411,1.565
436004,3.467,1.589
439287,3.49,1.601
436226,3.467,1.589
436354,3.301,1.504
440196,3.575,1.681
443415,3.319,1.513
476899,3.411,1.565
425448,3.549,1.627
443997,3.49,1.601
459272,3.49,1.601
447575,3.549,1.627
448994,3.549,1.627
439248,3.467,1.589
443388,3.49,1.601
456477,3.549,1.627
440164,3.319,1.513
443981,3.467,1.589
449836,3.467,1.589
438185,3.371,1.535
442747,3.549,1.627
444007,3.756,1.746
438202,3.467,1.589
437866,3.49,1.601
442324,3.319,1.513
440847,3.371,1.535
459103,3.49,1.601
454190,3.371,1.535
443297,3.371,1.535
440881,3.656,1.677
407194,3.467,1.589
440225,3.467,1.589
441635,3.467,1.589
440191,3.467,1.589
453905,3.411,1.565
441778,3.301,1.504
447246,3.49,1.601
136662,3.285,1.487
440863,3.49,1.601
443987,3.411,1.565
436368,3.467,1.589
437395,3.285,1.487
443035,3.575,1.681
425863,3.411,1.565
438201,3.26,1.481
441768,3.179,1.474
449011,3.549,1.627
447268,3.549,1.627
438403,3.467,1.589
424805,3.82,1.665
438721,3.411,1.565
436228,3.411,1.565
440753,3.319,1.513
440229,3.49,1.601
452395,3.371,1.535
440882,3.49,1.601
443903,3.467,1.589
443059,3.411,1.565
460506,3.301,1.504
440764,3.549,1.627
441944,3.411,1.565
443393,3.467,1.589
425632,3.411,1.565
436918,3.411,1.565
436212,3.49,1.601
443995,3.467,1.589
440856,3.319,1.513
408876,3.411,1.565
440055,3.575,1.681
443907,3.49,1.601
443067,3.319,1.513
444014,3.49,1.601
438196,3.49,1.601
440178,3.411,1.565
443034,3.49,1.601
440198,3.301,1.504
400131,3.371,1.535
441751,3.411,1.565
150063,3.467,1.589
437195,3.301,1.504
453475,3.467,1.589
420846,3.319,1.513
440756,3.319,1.513
443043,3.411,1.565
4e+05,3.756,1.746
441622,3.371,1.535
442704,3.319,1.513
438179,3.319,1.513
443268,3.49,1.601
440192,3.411,1.565
437875,3.656,1.677
420864,3.371,1.535
436225,3.319,1.513
437991,3.411,1.565
440860,3.301,1.504
441762,3.371,1.535
438956,3.467,1.589
436371,3.467,1.589
407898,3.319,1.513
454208,3.467,1.589
461736,3.549,1.627
440186,3.301,1.504
421004,3.467,1.589
444018,3.285,1.487
150023,3.467,1.589
442892,3.411,1.565
441752,3.301,1.504
443065,3.411,1.565
437202,3.411,1.565
441775,3.467,1.589
443976,3.467,1.589
438212,3.371,1.535
454200,3.467,1.589
436548,3.411,1.565
443298,3.411,1.565
443289,3.49,1.601
150343,3.467,1.589
440226,3.411,1.565
452423,3.411,1.565
437857,3.467,1.589
443048,3.301,1.504
440248,3.371,1.535
436208,3.371,1.535
455710,3.467,1.589
440868,3.411,1.565
443544,3.411,1.565
437187,3.49,1.601
436340,3.411,1.565
455269,3.411,1.565
443026,3.301,1.504
443386,3.49,1.601
443412,3.26,1.481
408227,3.411,1.565
440257,3.49,1.601
213680,3.549,1.627
444010,3.575,1.681
441753,3.49,1.601
449010,3.319,1.513
436233,3.371,1.535
437864,3.301,1.504
443977,3.411,1.565
440337,3.411,1.565
441322,3.756,1.746
443281,3.301,1.504
421685,3.756,1.746
461887,3.319,1.513
448985,3.549,1.627
440028,3.49,1.601
459788,3.49,1.601
443046,3.49,1.601
440170,3.49,1.601
436544,3.575,1.681
436223,3.49,1.601
440354,3.467,1.589
440870,3.301,1.504
447539,3.467,1.589
449009,3.285,1.487
443402,3.301,1.504
440771,3.656,1.677
443033,3.285,1.487
441628,3.467,1.589
437165,3.26,1.481
437185,3.411,1.565
436360,3.549,1.627
400136,3.49,1.601
436404,3.411,1.565
400061,3.371,1.535
437197,3.371,1.535
440212,3.371,1.535
447248,3.371,1.535
150404,3.371,1.535
452397,3.319,1.513
443288,3.575,1.681
439534,3.319,1.513
150306,3.301,1.504
443264,3.319,1.513
425790,3.49,1.601
438422,3.371,1.535
456457,3.549,1.627
443285,3.371,1.535
443405,3.49,1.601
458883,3.285,1.487
443994,3.371,1.535
440862,3.49,1.601
440763,3.319,1.513
439280,3.371,1.535
436929,3.549,1.627
150423,3.411,1.565
443031,3.411,1.565
443382,3.467,1.589
445557,3.549,1.627
441781,3.319,1.513
443438,3.49,1.601
460559,3.656,1.677
440781,3.371,1.535
440216,3.549,1.627
462435,3.549,1.627
436235,3.301,1.504
437865,3.467,1.589
454192,3.467,1.589
440784,3.411,1.565
441851,3.467,1.589
443283,3.371,1.535
448988,3.467,1.589
452185,3.575,1.681
439285,3.301,1.504
439295,3.371,1.535
407482,3.301,1.504
437860,3.756,1.746
443406,3.49,1.601
438199,3.575,1.681
456474,3.49,1.601
459109,3.301,1.504
440853,3.467,1.589
456007,3.371,1.535
212360,3.49,1.601
440846,3.371,1.535
437721,3.371,1.535
440894,3.49,1.601
437176,3.467,1.589
436908,3.549,1.627
440177,3.301,1.504
452434,3.49,1.601
332292,3.319,1.513
441387,3.467,1.589
448954,3.49,1.601
150207,3.319,1.513
438421,3.467,1.589
443421,3.467,1.589
457414,3.411,1.565
440239,3.371,1.535
447232,3.371,1.535
443287,3.756,1.746
459081,3.371,1.535
443422,3.371,1.535
437383,3.575,1.681
440222,3.549,1.627
436355,3.411,1.565
443392,3.575,1.681
441779,3.467,1.589
440551,3.371,1.535
440744,3.549,1.627
444000,3.179,1.474
440855,3.371,1.535
446829,3.411,1.565
430949,3.49,1.601
443040,3.371,1.535
444006,3.549,1.627
430970,3.371,1.535
441782,3.411,1.565
443979,3.49,1.601
437853,3.319,1.513
438187,3.467,1.589
346847,3.49,1.601
457375,3.411,1.565
440741,3.371,1.535
437870,3.549,1.627
440789,3.411,1.565
437173,3.26,1.481
459274,3.467,1.589
438205,3.49,1.601
441094,3.467,1.589
443066,3.301,1.504
440875,3.319,1.513
447222,3.49,1.601
233594,3.319,1.513
444055,3.411,1.565
459041,3.467,1.589
441638,3.467,1.589
459275,3.467,1.589
408066,3.371,1.535
436382,3.467,1.589
441764,3.467,1.589
440773,3.49,1.601
445111,3.467,1.589
443403,3.411,1.565
442317,3.371,1.535
452613,3.467,1.589
425606,3.411,1.565
441744,3.371,1.535
447561,3.549,1.627
442319,3.49,1.601
454216,3.49,1.601
275934,3.49,1.601
436234,3.371,1.535
408063,3.575,1.681
430932,3.549,1.627
443419,3.319,1.513
436362,3.411,1.565
440891,3.371,1.535
459066,3.756,1.746
438204,3.411,1.565
436341,3.575,1.681
216897,3.688,1.747
436346,3.549,1.627
407483,3.285,1.487
443280,3.467,1.589
440247,3.467,1.589
453472,3.371,1.535
443991,3.656,1.677
452414,3.319,1.513
454181,3.49,1.601
445335,3.49,1.601
447257,NA,NA
443069,3.467,1.589
443389,3.49,1.601
446020,3.49,1.601
443918,3.371,1.535
437193,3.411,1.565
461370,3.411,1.565
436347,3.411,1.565
452016,3.371,1.535
437196,3.371,1.535
440213,3.371,1.535
457400,3.411,1.565
440256,3.467,1.589
440743,3.49,1.601
440892,3.467,1.589
441095,3.371,1.535
459059,3.467,1.589
440879,3.411,1.565
454177,3.49,1.601
436356,3.319,1.513
437863,3.549,1.627
438698,3.49,1.601
333192,3.549,1.627
436923,3.371,1.535
440787,3.319,1.513
431097,3.467,1.589
439293,3.371,1.535
459282,3.411,1.565
436338,3.319,1.513
443062,3.411,1.565
459072,3.549,1.627
457901,3.411,1.565
459167,3.411,1.565
443390,3.301,1.504
459082,3.49,1.601
346798,3.467,1.589
457416,3.549,1.627
407838,3.549,1.627
436236,3.319,1.513
440352,3.467,1.589
459063,3.301,1.504
440844,3.49,1.601
448968,3.575,1.681
441643,3.49,1.601
425554,3.49,1.601
443420,3.467,1.589
440876,3.549,1.627
440240,3.549,1.627
436357,3.319,1.513
443399,3.411,1.565
455046,3.371,1.535
449014,3.371,1.535
453617,3.49,1.601
444001,3.411,1.565
440865,3.49,1.601
440762,3.549,1.627
438206,3.371,1.535
443265,3.549,1.627
438405,3.49,1.601
468187,3.411,1.565
443272,3.549,1.627
452420,3.549,1.627
447253,3.549,1.627
440739,3.549,1.627
438188,3.371,1.535
440746,3.467,1.589
458988,3.301,1.504
438209,3.411,1.565
440751,3.688,1.747
448965,3.549,1.627
437183,3.301,1.504
407801,3.467,1.589
452381,3.411,1.565
408108,3.371,1.535
439284,3.49,1.601
440231,3.549,1.627
459174,3.467,1.589
452429,3.371,1.535
150286,3.411,1.565
443401,3.411,1.565
440794,3.319,1.513
443992,3.467,1.589
441645,3.411,1.565
440748,3.319,1.513
457419,3.371,1.535
445344,3.467,1.589
443271,3.301,1.504
443027,3.549,1.627
459075,3.411,1.565
440747,3.467,1.589
440772,3.656,1.677
437854,3.319,1.513
436373,3.688,1.747
440167,3.467,1.589
400098,3.49,1.601
454213,3.411,1.565
459114,NA,NA
447234,3.549,1.627
449857,3.411,1.565
440166,3.49,1.601
440197,3.467,1.589
443284,3.301,1.504
438961,3.319,1.513
449006,3.49,1.601
454189,3.549,1.627
440223,3.467,1.589
436241,3.285,1.487
455266,3.319,1.513
443408,3.319,1.513
437742,3.371,1.535
459070,3.549,1.627
443990,3.411,1.565
457496,3.656,1.677
452401,3.467,1.589
439283,3.467,1.589
436337,3.371,1.535
443030,3.371,1.535
443385,3.549,1.627
436375,3.411,1.565
440161,3.371,1.535
443391,3.411,1.565
440873,3.411,1.565
462076,3.467,1.589
441836,3.371,1.535
408074,3.49,1.601
445330,3.411,1.565
440740,3.656,1.677
437182,3.411,1.565
443982,3.301,1.504
443286,3.549,1.627
407803,3.549,1.627
459284,3.656,1.677
453929,3.49,1.601
437177,3.575,1.681
150152,3.319,1.513
437862,3.371,1.535
443407,3.549,1.627
440246,3.301,1.504
407861,3.371,1.535
448921,3.49,1.601
446835,3.575,1.681
459273,3.49,1.601
453474,3.285,1.487
408068,3.656,1.677
456013,3.49,1.601
452408,3.467,1.589
443387,3.467,1.589
444398,3.467,1.589
407825,3.49,1.601
459148,3.411,1.565
136861,3.756,1.746
445572,NA,NA
441754,3.549,1.627
443057,3.49,1.601
459271,3.371,1.535
276338,3.467,1.589
440752,3.467,1.589
444002,3.371,1.535
440183,3.411,1.565
443275,3.467,1.589
407923,3.49,1.601
443068,3.49,1.601
449018,3.549,1.627
451222,3.575,1.681
441626,3.549,1.627
448743,3.467,1.589
443049,3.285,1.487
440737,3.549,1.627
424725,3.467,1.589
452398,3.49,1.601
446494,3.411,1.565
439282,3.371,1.535
441791,3.411,1.565
443037,3.467,1.589
440754,3.49,1.601
454183,3.49,1.601
440203,3.575,1.681
460643,3.575,1.681
440765,3.467,1.589
440745,3.82,1.665
459203,3.411,1.565
459029,3.49,1.601
453842,3.467,1.589
452391,3.411,1.565
459298,3.285,1.487
408073,3.467,1.589
461366,3.549,1.627
440890,3.411,1.565
448960,NA,NA
457863,3.656,1.677
454214,3.371,1.535
235095,3.49,1.601
437221,3.371,1.535
436906,3.411,1.565
408036,3.49,1.601
441777,3.371,1.535
440793,3.319,1.513
407804,3.549,1.627
444924,3.467,1.589
448991,3.49,1.601
443299,3.549,1.627
436928,3.467,1.589
461393,3.319,1.513
443036,3.575,1.681
452438,3.467,1.589
437208,3.467,1.589
441306,3.575,1.681
436244,3.49,1.601
436361,3.656,1.677
437573,3.371,1.535
458889,3.371,1.535
439313,3.49,1.601
437203,3.371,1.535
440778,3.467,1.589
436907,3.49,1.601
443735,3.467,1.589
459277,3.467,1.589
407879,3.549,1.627
452424,3.371,1.535
434440,3.467,1.589
459170,3.371,1.535
447566,3.549,1.627
436220,3.371,1.535
459260,3.575,1.681
456446,3.49,1.601
406893,3.26,1.481
449007,3.549,1.627
453846,3.49,1.601
442152,3.301,1.504
454182,3.467,1.589
407840,3.371,1.535
443410,3.371,1.535
452389,3.319,1.513
452406,3.49,1.601
457859,3.49,1.601
150142,3.575,1.681
447535,3.49,1.601
440759,3.467,1.589
459112,3.411,1.565
134342,3.371,1.535
441822,3.49,1.601
459045,3.371,1.535
443507,3.49,1.601
276356,3.467,1.589
459037,3.549,1.627
459100,3.371,1.535
445327,3.467,1.589
440805,3.411,1.565
447251,3.575,1.681
462542,3.319,1.513
150160,3.371,1.535
454215,3.319,1.513
455274,3.49,1.601
400114,3.49,1.601
459286,3.656,1.677
436522,3.549,1.627
447255,3.371,1.535
459255,3.467,1.589
449738,3.49,1.601
436372,3.26,1.481
457413,3.319,1.513
439246,3.467,1.589
452416,3.49,1.601
443411,3.549,1.627
452409,3.49,1.601
437194,3.49,1.601
436915,3.756,1.746
440207,3.319,1.513
449872,3.575,1.681
452370,3.319,1.513
435620,3.49,1.601
455273,3.549,1.627
448981,3.301,1.504
440552,3.371,1.535
440791,3.549,1.627
454591,3.467,1.589
452418,3.301,1.504
460242,3.467,1.589
436927,3.371,1.535
440236,3.549,1.627
425473,3.301,1.504
440165,3.319,1.513
454196,3.575,1.681
455267,3.575,1.681
441916,3.549,1.627
452404,3.411,1.565
438203,3.319,1.513
452430,3.49,1.601
454187,3.467,1.589
459048,3.549,1.627
443424,3.411,1.565
445326,3.49,1.601
447239,3.549,1.627
452390,3.549,1.627
459036,3.467,1.589
459080,3.549,1.627
459294,3.575,1.681
448956,3.549,1.627
333293,3.549,1.627
459133,3.285,1.487
136606,3.467,1.589
448984,3.49,1.601
440887,3.49,1.601
459264,3.371,1.535
440797,3.467,1.589
441821,3.49,1.601
448972,3.575,1.681
459847,3.371,1.535
448971,3.467,1.589
459263,3.411,1.565
448959,3.575,1.681
444424,3.656,1.677
459040,3.467,1.589
459278,3.549,1.627
449020,3.467,1.589
437417,3.49,1.601
441623,3.49,1.601
459128,3.549,1.627
461392,3.549,1.627
448969,3.575,1.681
454191,3.319,1.513
440758,3.467,1.589
456478,3.467,1.589
459054,3.467,1.589
459031,3.467,1.589
459270,3.319,1.513
447241,3.575,1.681
452405,3.467,1.589
440065,3.467,1.589
443058,3.549,1.627
461880,3.49,1.601
450323,3.49,1.601
441625,3.319,1.513
459281,3.319,1.513
454211,3.411,1.565
400107,3.467,1.589
447572,3.411,1.565
448953,3.49,1.601
439312,3.301,1.504
459056,3.549,1.627
461804,3.549,1.627
436724,3.319,1.513
454217,3.549,1.627
407870,3.49,1.601
461498,3.49,1.601
443540,3.319,1.513
279908,3.549,1.627
459292,3.411,1.565
459115,3.371,1.535
446848,3.549,1.627
459113,NA,NA
440777,3.549,1.627
211686,3.319,1.513
440254,3.411,1.565
443279,3.575,1.681
